Place Of Service,Service Type,Product,Group Size,In Network,Is Covered,Date of Service From,Date of Service To,Covered in Full,Copay,Coinsurance
Office,occupationalTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,occupationalTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,occupationalTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,occupationalTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,occupationalTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,opChemical,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opChemical,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opChemical,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opChemical,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,opChemical,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opChemical,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisFacility,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opDialysisFacility,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opDialysisFacility,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisFacility,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,opDialysisFacility,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,opDialysisFacility,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisPhysician,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opDialysisPhysician,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opDialysisPhysician,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opDialysisPhysician,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,opDialysisPhysician,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,opDialysisPhysician,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,opMentalHealth,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,opMentalHealth,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,opMentalHealth,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,opMentalHealth,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,opMentalHealth,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,organTransplant,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,organTransplant,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,organTransplant,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,"""20%""",N
Outpatient,organTransplant,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,organTransplant,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,organTransplant,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,orthotics,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,orthotics,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,orthotics,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,orthotics,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,orthotics,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,orthotics,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,orthoticShoeInserts,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,orthoticShoeInserts,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,orthoticShoeInserts,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,orthoticShoeInserts,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,orthoticShoeInserts,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,orthoticShoeInserts,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,painManagementServices,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,painManagementServices,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,painManagementServices,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,painManagementServices,PROD059,L,Y,y,1/1/2015,12/31/2023,N,Copay XX,N
Office,painManagementServices,PROD059,L,Y,y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,painManagementServices,PROD059,L,N,y,1/1/2015,12/31/2023,N,N,Y
Outpatient,pcpVisit,PROD059,L,N,y,1/1/2015,12/31/2023,N,N,Y
Office,pcpVisit,PROD059,L,N,y,1/1/2015,12/31/2023,N,N,Y
Inpatient,pcpVisit,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,pcpVisit,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,pcpVisit,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpCopay,N
Inpatient,pcpVisit,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,petScans,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,petScans,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,petScans,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,petScans,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,petScans,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,petScans,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,physicalTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,physicalTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,physicalTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,physicalTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,physicalTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,physicalTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,preferredLab,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,preferredLab,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,preferredLab,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,preferredLab,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,preferredLab,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,preferredLab,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,preferredRadiology,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,preferredRadiology,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,preferredRadiology,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,preferredRadiology,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,preferredRadiology,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,preferredRadiology,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,preNatalVisits,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,preNatalVisits,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,preNatalVisits,PROD059,L,Y, ,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,preNatalVisits,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,preNatalVisits,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,preNatalVisits,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,prostateCaScreening,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,prostateCaScreening,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,prostateCaScreening,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,prostateCaScreening,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,prostateCaScreening,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,prostateCaScreening,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,prosthetics,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,prosthetics,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,prosthetics,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,prosthetics,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,prosthetics,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,prosthetics,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,pulmonaryRehab,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,pulmonaryRehab,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,pulmonaryRehab,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,pulmonaryRehab,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,pulmonaryRehab,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,pulmonaryRehab,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,radiationTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,radiationTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,radiationTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,radiationTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,radiationTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,radiationTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,routineFootCare,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,routineFootCare,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,routineFootCare,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineFootCare,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,routineFootCare,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,routineFootCare,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineGynExam,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,routineGynExam,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,routineGynExam,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineGynExam,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,routineGynExam,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,routineGynExam,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineMammogram,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,routineMammogram,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,routineMammogram,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routineMammogram,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,routineMammogram,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,routineMammogram,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routinePapSmear,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,routinePapSmear,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,routinePapSmear,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,routinePapSmear,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,routinePapSmear,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,routinePapSmear,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,secondOpinions,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,secondOpinions,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,secondOpinions,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,secondOpinions,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,secondOpinions,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,secondOpinions,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,selfInjectibles,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,selfInjectibles,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,selfInjectibles,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,selfInjectibles,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,selfInjectibles,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,selfInjectibles,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,sickEyeExams,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,sickEyeExams,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,sickEyeExams,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,sickEyeExams,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,sickEyeExams,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,sickEyeExams,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,sleepStudies,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,sleepStudies,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,sleepStudies,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,sleepStudies,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,sleepStudies,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,sleepStudies,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,smokingCessation,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,smokingCessation,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,smokingCessation,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,smokingCessation,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,smokingCessation,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,smokingCessation,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,specialistVisit,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,specialistVisit,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,specialistVisit,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,specialistVisit,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,specialistVisit,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,specialistCopay,N
Inpatient,specialistVisit,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,speechTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,speechTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,speechTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,speechTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,speechTherapy,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,speechTherapy,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,surgery,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,surgery,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,surgery,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,surgery,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,surgery,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,surgery,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,tmjDental,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,tmjDental,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,tmjDental,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,tmjDental,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,tmjDental,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,tmjDental,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,travelImmunizations,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,travelImmunizations,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,travelImmunizations,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,travelImmunizations,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,travelImmunizations,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,travelImmunizations,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,urgentCare,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,urgentCare,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,urgentCare,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,urgentCare,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,"""$50""",N
Office,urgentCare,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,"""$50""",N
Inpatient,urgentCare,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,visionContactLens,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,visionContactLens,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,visionContactLens,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,visionContactLens,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,visionContactLens,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,visionContactLens,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,visionExam,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,visionExam,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,visionExam,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,visionExam,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,visionExam,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,visionExam,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,visionFrame,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,visionFrame,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,visionFrame,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,visionFrame,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,visionFrame,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,visionFrame,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,visionLens,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,visionLens,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,visionLens,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,visionLens,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,visionLens,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,visionLens,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,weightManagementProgram,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,weightManagementProgram,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,weightManagementProgram,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,weightManagementProgram,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,weightManagementProgram,PROD059,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,weightManagementProgram,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,wellChildVisits,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,wellChildVisits,PROD059,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,wellChildVisits,PROD059,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,wellChildVisits,PROD059,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,wellChildVisits,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,wellChildVisits,PROD059,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,wigs,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,wigs,PROD059,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,wigs,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,wigs,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,wigs,PROD059,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,wigs,PROD059,L,N,Y,1/1/2015,12/31/2023,Y,N,N
Office,dentalAccidental,PROD059,L,N,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,dentalAccidental,PROD059,L,N,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,dentalAccidental,PROD499,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,dentalAccidental,PROD499,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,dentalAccidental,PROD499,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,dentalAccidental,PROD499,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,acupuncture,PROD499,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,acupuncture,PROD499,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,acupuncture,PROD499,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,acupuncture,PROD499,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Outpatient,acupuncture,PROD499,L,Y,Y,1/1/2015,12/31/2023,N,pcpAndSpec,N
Inpatient,acupuncture,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,adultImmunizations,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,adultImmunizations,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,adultImmunizations,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,adultImmunizations,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,adultImmunizations,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,adultImmunizations,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,adultPhysicalRoutine,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,adultPhysicalRoutine,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,adultPhysicalRoutine,PROD499,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,adultPhysicalRoutine,PROD499,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,adultPhysicalRoutine,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,adultPhysicalRoutine,PROD499,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,allergyInjection,PROD499,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,allergyInjection,PROD499,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,allergyInjection,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,allergyInjection,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,allergyInjection,PROD499,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,allergyInjection,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,allergyTesting,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,allergyTesting,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,allergyTesting,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,allergyTesting,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,allergyTesting,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,allergyTesting,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,ambulance,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,ambulance,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,ambulance,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Outpatient,ambulance,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Office,ambulance,PROD499,L,Y,Y,1/1/2015,12/31/2023,Y,N,N
Inpatient,ambulance,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,ambulatorySurgery,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,ambulatorySurgery,PROD499,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,ambulatorySurgery,PROD499,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,ambulatorySurgery,PROD499,L,Y,Y,1/1/2015,12/31/2023,N,opSurgeryCopay,N
